Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
zstd 1.5.7 -3,119.77,623.73,159858,65859,41.20,shakespeare//henry-iv-part-2_TXT_FolgerShakespeare.txt
zstd 1.5.7 -3,119.56,623.20,145915,60556,41.50,shakespeare//henry-iv-part-1_TXT_FolgerShakespeare.txt
zstd 1.5.7 -3,124.52,648.84,181588,72205,39.76,shakespeare//richard-iii_TXT_FolgerShakespeare.txt
zstd 1.5.7 -3,118.16,625.47,132828,55305,41.64,shakespeare//loves-labors-lost_TXT_FolgerShakespeare.txt
zstd 1.5.7 -3,129.32,757.66,119215,48379,40.58,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
zstd 1.5.7 -3,127.06,743.49,125575,51313,40.86,shakespeare//king-john_TXT_FolgerShakespeare.txt
zstd 1.5.7 -3,116.91,607.84,149062,63000,42.26,shakespeare//the-winters-tale_TXT_FolgerShakespeare.txt
zstd 1.5.7 -3,128.68,741.48,106538,44440,41.71,shakespeare//macbeth_TXT_FolgerShakespeare.txt
zstd 1.5.7 -3,131.02,756.25,125304,50339,40.17,shakespeare//the-merchant-of-venice_TXT_FolgerShakespeare.txt
zstd 1.5.7 -3,131.42,757.08,119985,47536,39.62,shakespeare//julius-caesar_TXT_FolgerShakespeare.txt
zstd 1.5.7 -3,118.07,613.90,182866,76557,41.87,shakespeare//hamlet_TXT_FolgerShakespeare.txt
zstd 1.5.7 -3,131.94,772.10,127784,50309,39.37,shakespeare//much-ado-about-nothing_TXT_FolgerShakespeare.txt
zstd 1.5.7 -3,140.33,379.85,2466,1343,54.46,shakespeare//the-phoenix-and-turtle_TXT_FolgerShakespeare.txt
zstd 1.5.7 -4,122.95,645.75,119985,48299,40.25,shakespeare//julius-caesar_TXT_FolgerShakespeare.txt
zstd 1.5.7 -4,119.59,643.57,124759,51109,40.97,shakespeare//titus-andronicus_TXT_FolgerShakespeare.txt
zstd 1.5.7 -4,67.96,729.98,136156,53603,39.37,shakespeare//henry-vi-part-1_TXT_FolgerShakespeare.txt
zstd 1.5.7 -4,68.33,725.38,158182,61601,38.94,shakespeare//henry-vi-part-2_TXT_FolgerShakespeare.txt
zstd 1.5.7 -4,67.19,707.56,149062,59569,39.96,shakespeare//the-winters-tale_TXT_FolgerShakespeare.txt
zstd 1.5.7 -4,68.22,724.33,171215,66269,38.71,shakespeare//coriolanus_TXT_FolgerShakespeare.txt
zstd 1.5.7 -4,67.58,706.78,169072,66813,39.52,shakespeare//cymbeline_TXT_FolgerShakespeare.txt
zstd 1.5.7 -4,119.11,627.69,125575,52097,41.49,shakespeare//king-john_TXT_FolgerShakespeare.txt
zstd 1.5.7 -4,123.59,650.85,127784,51089,39.98,shakespeare//much-ado-about-nothing_TXT_FolgerShakespeare.txt
zstd 1.5.7 -4,117.40,612.30,106538,45311,42.53,shakespeare//macbeth_TXT_FolgerShakespeare.txt
zstd 1.5.7 -4,67.93,719.21,159858,62583,39.15,shakespeare//henry-iv-part-2_TXT_FolgerShakespeare.txt
zstd 1.5.7 -4,118.43,621.25,113339,47402,41.82,shakespeare//pericles_TXT_FolgerShakespeare.txt
zstd 1.5.7 -4,68.08,726.08,145915,57593,39.47,shakespeare//henry-iv-part-1_TXT_FolgerShakespeare.txt
zstd 1.5.7 -4,69.07,733.10,181588,68362,37.65,shakespeare//richard-iii_TXT_FolgerShakespeare.txt
zstd 1.5.7 -4,67.75,720.11,132828,52678,39.66,shakespeare//loves-labors-lost_TXT_FolgerShakespeare.txt
zstd 1.5.7 -4,116.16,591.96,99272,42258,42.57,shakespeare//shakespeares-sonnets_TXT_FolgerShakespeare.txt
zstd 1.5.7 -4,66.84,700.98,147304,59432,40.35,shakespeare//the-two-noble-kinsmen_TXT_FolgerShakespeare.txt
