,Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
38,kanzi 2.3 -1,141.55,771.45,76333928,33252361,43.56,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
39,kanzi 2.3 -2,120.11,289.58,76333928,27453386,35.96,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
40,kanzi 2.3 -3,80.46,288.69,76333928,27675234,36.26,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
41,lizard 2.1 -10,338.79,2558.05,76333928,40320075,52.82,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
42,lizard 2.1 -11,215.42,2626.06,76333928,37547531,49.19,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
43,lizard 2.1 -12,117.69,2718.06,76333928,35337393,46.29,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
44,lizard 2.1 -13,76.8,2690.71,76333928,34490958,45.18,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
45,lizard 2.1 -14,70.2,2722.77,76333928,34009166,44.55,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
46,lz4 1.10.0,392.5,2471.28,76333928,39860108,52.22,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
47,lz4 1.10.0 --fast -3,470.56,2502.36,76333928,42873274,56.17,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
48,lz4 1.10.0 --fast -17,758.16,3113.92,76333928,53111136,69.58,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
49,lzav 4.22 -1,361.7,1697.45,76333928,37361260,48.94,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
50,lzav 4.22 -2,64.56,1525.05,76333928,32509060,42.59,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
51,lzf 3.6 -0,212.87,363.87,76333928,40764715,53.4,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
52,lzf 3.6 -1,206.26,362.77,76333928,40234173,52.71,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
53,lzfse 2017-03-08,64.59,472.78,76333928,27450472,35.96,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
54,lzo1b 2.10 -1,115.57,402.5,76333928,39211284,51.37,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
55,lzo1c 2.10 -1,128.59,415.73,76333928,39268797,51.44,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
56,lzof 2.10 -1,116.09,386.03,76333928,37941288,49.7,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
57,lzo1x 2.10 -1,319.74,430.91,76333928,38441922,50.36,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
58,lzo1y 2.10 -1,321.67,435.25,76333928,38567183,50.52,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
59,lzsse4fast 2019-04-18,190.98,1949.97,76333928,38676199,50.67,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
60,lzsse8 2019-04-18 -1,12.75,2731.97,76333928,34298935,44.93,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
61,lzvn 2017-03-08,42.13,591.72,76333928,30456302,39.9,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
62,quicklz 1.5.0 -1,273.14,326.99,76333928,36960452,48.42,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
63,quicklz 1.5.0 -2,141.6,312.49,76333928,33844039,44.34,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
64,snappy 1.2.1,297.82,780.44,76333928,40055711,52.47,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
65,zstd 1.5.7 -1,315.68,775.47,76333928,30245709,39.62,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
66,zstd 1.5.7 -2,273.25,744.35,76333928,28214997,36.96,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
67,zstd 1.5.7 -3,202.49,711.21,76333928,26913616,35.26,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
68,zstd 1.5.7 -4,176.57,707.91,76333928,26653373,34.92,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
69,zstd 1.5.7 -5,95.84,693.78,76333928,26082917,34.17,micronaut-shopcart-x64-prof,610671488,0.931678,56920443.01698,0.347349,3.50348,0.212714
70,memcpy,14598.07,14511.63,106367384,106367384,100.0,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
71,fastlz 0.5.0 -1,136.8,382.86,106367384,64270325,60.42,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
72,fastlz 0.5.0 -2,150.14,380.8,106367384,62137413,58.42,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
73,kanzi 2.3 -1,140.35,763.86,106367384,50236924,47.23,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
74,kanzi 2.3 -2,116.93,270.21,106367384,42324128,39.79,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
75,kanzi 2.3 -3,73.36,272.37,106367384,41707285,39.21,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
76,lizard 2.1 -10,314.33,2493.58,106367384,62085282,58.37,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
77,lizard 2.1 -11,188.95,2598.67,106367384,56805653,53.41,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
78,lizard 2.1 -12,106.32,2674.91,106367384,53696836,50.48,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
79,lizard 2.1 -13,69.73,2666.75,106367384,52528839,49.38,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
80,lizard 2.1 -14,65.28,2689.11,106367384,51855330,48.75,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
81,lz4 1.10.0,364.28,2462.19,106367384,61689282,58.0,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
82,lz4 1.10.0 --fast -3,448.18,2430.46,106367384,67208561,63.19,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
83,lz4 1.10.0 --fast -17,836.42,3491.77,106367384,84228341,79.19,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
