Filename,0,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,snappy 1.2.1,241.42,631.38,1423360,936522,65.8
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,zstd 1.5.7 -1,221.16,697.4,1423360,771182,54.18
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,zstd 1.5.7 -2,170.55,650.58,1423360,737088,51.79
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,zstd 1.5.7 -3,115.71,603.7,1423360,704971,49.53
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,zstd 1.5.7 -4,114.5,595.95,1423360,701468,49.28
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,zstd 1.5.7 -5,64.29,590.49,1423360,687533,48.3
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,memcpy,21278.05,20951.28,870400,870400,100.0
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,fastlz 0.5.0 -1,144.63,354.62,870400,516607,59.35
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,fastlz 0.5.0 -2,142.72,335.91,870400,512229,58.85
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,kanzi 2.3 -1,102.58,647.33,870400,465247,53.45
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,kanzi 2.3 -2,85.03,248.21,870400,391062,44.93
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,kanzi 2.3 -3,76.29,255.09,870400,395898,45.48
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,lizard 2.1 -10,258.25,1356.02,870400,524179,60.22
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,lizard 2.1 -11,144.2,1276.44,870400,495793,56.96
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,lizard 2.1 -12,68.24,1334.41,870400,469358,53.92
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,lizard 2.1 -13,52.93,1316.59,870400,460856,52.95
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,lizard 2.1 -14,49.38,1317.93,870400,456775,52.48
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,lz4 1.10.0,376.72,2037.45,870400,514046,59.06
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,lz4 1.10.0 --fast -3,468.85,2111.46,870400,555975,63.88
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,lz4 1.10.0 --fast -17,844.55,3401.55,870400,673114,77.33
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,lzav 4.22 -1,251.03,1581.09,870400,507001,58.25
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,lzav 4.22 -2,49.17,1344.8,870400,460087,52.86
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,lzf 3.6 -0,170.59,335.07,870400,511817,58.8
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,lzf 3.6 -1,178.35,333.3,870400,503479,57.84
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,lzfse 2017-03-08,47.08,338.82,870400,376905,43.3
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,lzo1b 2.10 -1,103.33,355.21,870400,502471,57.73
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,lzo1c 2.10 -1,121.34,366.64,870400,498421,57.26
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,lzof 2.10 -1,104.77,346.97,870400,484495,55.66
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,lzo1x 2.10 -1,308.99,374.14,870400,497084,57.11
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,lzo1y 2.10 -1,311.17,377.81,870400,499790,57.42
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,lzsse4fast 2019-04-18,123.7,1660.18,870400,534031,61.35
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,lzsse8 2019-04-18 -1,16.36,2144.71,870400,449361,51.63
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,lzvn 2017-03-08,35.98,455.54,870400,400566,46.02
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,quicklz 1.5.0 -1,238.73,311.44,870400,481042,55.27
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,quicklz 1.5.0 -2,113.78,271.98,870400,445058,51.13
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,snappy 1.2.1,238.52,585.62,870400,515087,59.18
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,zstd 1.5.7 -1,223.27,716.19,870400,414585,47.63
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,zstd 1.5.7 -2,176.97,671.98,870400,395320,45.42
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,zstd 1.5.7 -3,128.02,612.56,870400,379605,43.61
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,zstd 1.5.7 -4,117.21,605.81,870400,377414,43.36
./llvm-aha-clang-linux-x64-static.tar,1,6963200,0.933286,634005.235294,0.349127,3.335061,0.312082,zstd 1.5.7 -5,67.62,606.78,870400,370716,42.59
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,memcpy,27089.95,30796.99,20480,20480,100.0
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,fastlz 0.5.0 -1,384.15,662.98,20480,6575,32.1
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,fastlz 0.5.0 -2,381.6,564.02,20480,6456,31.52
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,kanzi 2.3 -1,178.3,693.18,20480,6006,29.33
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,kanzi 2.3 -2,136.59,326.61,20480,5369,26.22
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,kanzi 2.3 -3,36.09,321.02,20480,5444,26.58
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,lizard 2.1 -10,382.47,2224.64,20480,8961,43.75
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,lizard 2.1 -11,417.58,2193.19,20480,8871,43.32
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,lizard 2.1 -12,171.27,2197.42,20480,6548,31.97
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,lizard 2.1 -13,99.39,1511.33,20480,6290,30.71
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,lizard 2.1 -14,92.66,1682.41,20480,6228,30.41
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,lz4 1.10.0,1042.19,3031.83,20480,6610,32.28
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,lz4 1.10.0 --fast -3,1357.01,3436.24,20480,7051,34.43
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,lz4 1.10.0 --fast -17,2118.55,4660.9,20480,8226,40.17
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,lzav 4.22 -1,317.48,3243.59,20480,6694,32.69
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,lzav 4.22 -2,87.18,3189.53,20480,6345,30.98
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,lzf 3.6 -0,471.63,520.54,20480,6600,32.23
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,lzf 3.6 -1,460.07,522.32,20480,6544,31.95
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,lzfse 2017-03-08,64.01,437.54,20480,4946,24.15
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,lzo1b 2.10 -1,364.71,1416.81,20480,6527,31.87
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,lzo1c 2.10 -1,406.99,1279.36,20480,6454,31.51
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,lzof 2.10 -1,302.48,1119.19,20480,6237,30.45
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,lzo1x 2.10 -1,835.07,1806.16,20480,6377,31.14
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,lzo1y 2.10 -1,830.26,1744.31,20480,6337,30.94
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,lzsse4fast 2019-04-18,71.54,1062.85,20480,17547,85.68
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,lzsse8 2019-04-18 -1,22.6,2363.26,20480,6738,32.9
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,lzvn 2017-03-08,61.41,602.19,20480,5304,25.9
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,quicklz 1.5.0 -1,345.79,600.52,20480,6459,31.54
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,quicklz 1.5.0 -2,153.13,546.28,20480,6016,29.38
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,snappy 1.2.1,940.87,831.03,20480,6772,33.07
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,zstd 1.5.7 -1,409.14,1046.87,20480,5044,24.63
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,zstd 1.5.7 -2,372.74,926.86,20480,5013,24.48
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,zstd 1.5.7 -3,282.14,1001.52,20480,4934,24.09
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,zstd 1.5.7 -4,271.37,924.44,20480,4901,23.93
./llvm-tsp-gcc-linux-x64-Os.tar,1,163840,0.541625,92499.311743,0.12431,3.851157,0.446038,zstd 1.5.7 -5,118.68,909.45,20480,4831,23.59
./llvm-lua-gcc-linux-x64-debug.tar,1,4341760,0.869741,760125.530251,0.290791,3.642776,0.237396,memcpy,21090.43,20964.96,542720,542720,100.0
./llvm-lua-gcc-linux-x64-debug.tar,1,4341760,0.869741,760125.530251,0.290791,3.642776,0.237396,fastlz 0.5.0 -1,151.56,319.97,542720,314228,57.9
./llvm-lua-gcc-linux-x64-debug.tar,1,4341760,0.869741,760125.530251,0.290791,3.642776,0.237396,fastlz 0.5.0 -2,143.26,304.52,542720,309053,56.95
./llvm-lua-gcc-linux-x64-debug.tar,1,4341760,0.869741,760125.530251,0.290791,3.642776,0.237396,kanzi 2.3 -1,104.03,614.24,542720,267355,49.26
./llvm-lua-gcc-linux-x64-debug.tar,1,4341760,0.869741,760125.530251,0.290791,3.642776,0.237396,kanzi 2.3 -2,87.35,255.74,542720,214196,39.47
./llvm-lua-gcc-linux-x64-debug.tar,1,4341760,0.869741,760125.530251,0.290791,3.642776,0.237396,kanzi 2.3 -3,78.38,265.41,542720,215261,39.66
./llvm-lua-gcc-linux-x64-debug.tar,1,4341760,0.869741,760125.530251,0.290791,3.642776,0.237396,lizard 2.1 -10,243.61,1232.66,542720,314350,57.92
./llvm-lua-gcc-linux-x64-debug.tar,1,4341760,0.869741,760125.530251,0.290791,3.642776,0.237396,lizard 2.1 -11,153.82,1159.85,542720,292000,53.8
./llvm-lua-gcc-linux-x64-debug.tar,1,4341760,0.869741,760125.530251,0.290791,3.642776,0.237396,lizard 2.1 -12,68.21,1265.63,542720,272212,50.16
./llvm-lua-gcc-linux-x64-debug.tar,1,4341760,0.869741,760125.530251,0.290791,3.642776,0.237396,lizard 2.1 -13,51.88,1258.16,542720,265012,48.83
./llvm-lua-gcc-linux-x64-debug.tar,1,4341760,0.869741,760125.530251,0.290791,3.642776,0.237396,lizard 2.1 -14,48.04,1270.24,542720,261158,48.12
./llvm-lua-gcc-linux-x64-debug.tar,1,4341760,0.869741,760125.530251,0.290791,3.642776,0.237396,lz4 1.10.0,329.0,2009.51,542720,310191,57.15
./llvm-lua-gcc-linux-x64-debug.tar,1,4341760,0.869741,760125.530251,0.290791,3.642776,0.237396,lz4 1.10.0 --fast -3,376.06,2029.33,542720,336486,62.0
