Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
lizard 2.1 -12,174.82,2840.18,164939625,80373353,48.73,corpus_text//spring-petclinic-x64-O3-text
lizard 2.1 -13,107.30,2868.67,164939625,78373300,47.52,corpus_text//spring-petclinic-x64-O3-text
lizard 2.1 -14,98.57,2890.28,164939625,77199712,46.80,corpus_text//spring-petclinic-x64-O3-text
lz4 1.10.0,611.00,3976.42,164939625,96502193,58.51,corpus_text//spring-petclinic-x64-O3-text
lz4 1.10.0 --fast -3,756.82,3899.20,164939625,107038143,64.90,corpus_text//spring-petclinic-x64-O3-text
lz4 1.10.0 --fast -17,1559.92,5654.75,164939625,137647193,83.45,corpus_text//spring-petclinic-x64-O3-text
lzav 4.22 -1,405.48,2149.36,164939625,79638515,48.28,corpus_text//spring-petclinic-x64-O3-text
lzav 4.22 -2,79.64,2032.05,164939625,68549711,41.56,corpus_text//spring-petclinic-x64-O3-text
lzf 3.6 -0,301.96,539.57,164939625,100230149,60.77,corpus_text//spring-petclinic-x64-O3-text
lzf 3.6 -1,294.32,535.82,164939625,98410165,59.66,corpus_text//spring-petclinic-x64-O3-text
lzfse 2017-03-08,80.64,700.90,164939625,65041720,39.43,corpus_text//spring-petclinic-x64-O3-text
lzo1b 2.10 -1,186.05,558.98,164939625,93940639,56.95,corpus_text//spring-petclinic-x64-O3-text
lzo1c 2.10 -1,202.27,578.17,164939625,95990538,58.20,corpus_text//spring-petclinic-x64-O3-text
lzof 2.10 -1,174.20,520.80,164939625,93889931,56.92,corpus_text//spring-petclinic-x64-O3-text
lzo1x 2.10 -1,483.15,571.93,164939625,93819759,56.88,corpus_text//spring-petclinic-x64-O3-text
lzo1y 2.10 -1,488.81,570.42,164939625,94682657,57.40,corpus_text//spring-petclinic-x64-O3-text
lzsse4fast 2019-04-18,257.11,3811.66,164939625,83319179,50.51,corpus_text//spring-petclinic-x64-O3-text
lzsse8 2019-04-18 -1,20.69,4274.06,164939625,75787770,45.95,corpus_text//spring-petclinic-x64-O3-text
lzvn 2017-03-08,68.32,935.92,164939625,71009261,43.05,corpus_text//spring-petclinic-x64-O3-text
quicklz 1.5.0 -1,401.33,519.70,164939625,90483370,54.86,corpus_text//spring-petclinic-x64-O3-text
quicklz 1.5.0 -2,222.56,521.95,164939625,79622248,48.27,corpus_text//spring-petclinic-x64-O3-text
snappy 1.2.1,357.35,1049.26,164939625,97119222,58.88,corpus_text//spring-petclinic-x64-O3-text
zstd 1.5.7 -1,450.66,1310.96,164939625,75174693,45.58,corpus_text//spring-petclinic-x64-O3-text
zstd 1.5.7 -2,372.98,1237.15,164939625,66872266,40.54,corpus_text//spring-petclinic-x64-O3-text
zstd 1.5.7 -3,259.12,1157.49,164939625,62550050,37.92,corpus_text//spring-petclinic-x64-O3-text
zstd 1.5.7 -4,227.46,1147.18,164939625,60556639,36.71,corpus_text//spring-petclinic-x64-O3-text
zstd 1.5.7 -5,127.58,1108.05,164939625,58851334,35.68,corpus_text//spring-petclinic-x64-O3-text
memcpy,29063.61,30244.32,21905387,21905387,100.00,corpus_text//micronaut-conferences-x64-prof-text
fastlz 0.5.0 -1,288.21,619.15,21905387,12188987,55.64,corpus_text//micronaut-conferences-x64-prof-text
fastlz 0.5.0 -2,269.58,612.04,21905387,11905182,54.35,corpus_text//micronaut-conferences-x64-prof-text
kanzi 2.3 -1,227.11,1244.94,21905387,9052169,41.32,corpus_text//micronaut-conferences-x64-prof-text
kanzi 2.3 -2,194.85,534.48,21905387,7780798,35.52,corpus_text//micronaut-conferences-x64-prof-text
kanzi 2.3 -3,136.77,562.05,21905387,7614002,34.76,corpus_text//micronaut-conferences-x64-prof-text
lizard 2.1 -10,503.89,2866.61,21905387,11383793,51.97,corpus_text//micronaut-conferences-x64-prof-text
lizard 2.1 -11,340.24,2733.18,21905387,10423072,47.58,corpus_text//micronaut-conferences-x64-prof-text
lizard 2.1 -12,177.57,2865.81,21905387,9714388,44.35,corpus_text//micronaut-conferences-x64-prof-text
lizard 2.1 -13,112.60,2859.92,21905387,9368684,42.77,corpus_text//micronaut-conferences-x64-prof-text
lizard 2.1 -14,103.05,2874.91,21905387,9160049,41.82,corpus_text//micronaut-conferences-x64-prof-text
lz4 1.10.0,601.13,4020.71,21905387,11312757,51.64,corpus_text//micronaut-conferences-x64-prof-text
lz4 1.10.0 --fast -3,678.82,3960.01,21905387,12438713,56.78,corpus_text//micronaut-conferences-x64-prof-text
lz4 1.10.0 --fast -17,1154.29,4671.02,21905387,16448817,75.09,corpus_text//micronaut-conferences-x64-prof-text
lzav 4.22 -1,425.59,2204.81,21905387,9921504,45.29,corpus_text//micronaut-conferences-x64-prof-text
lzav 4.22 -2,88.48,2205.61,21905387,8578486,39.16,corpus_text//micronaut-conferences-x64-prof-text
lzf 3.6 -0,328.99,548.41,21905387,11998035,54.77,corpus_text//micronaut-conferences-x64-prof-text
lzf 3.6 -1,322.07,549.46,21905387,11744487,53.61,corpus_text//micronaut-conferences-x64-prof-text
lzfse 2017-03-08,84.60,719.09,21905387,7816170,35.68,corpus_text//micronaut-conferences-x64-prof-text
lzo1b 2.10 -1,211.16,569.16,21905387,11463143,52.33,corpus_text//micronaut-conferences-x64-prof-text
lzo1c 2.10 -1,243.22,596.66,21905387,11440049,52.22,corpus_text//micronaut-conferences-x64-prof-text
lzof 2.10 -1,203.65,537.13,21905387,11144064,50.87,corpus_text//micronaut-conferences-x64-prof-text
lzo1x 2.10 -1,480.10,575.72,21905387,11108363,50.71,corpus_text//micronaut-conferences-x64-prof-text
lzo1y 2.10 -1,482.18,576.00,21905387,11131887,50.82,corpus_text//micronaut-conferences-x64-prof-text
lzsse4fast 2019-04-18,266.89,4014.71,21905387,10576459,48.28,corpus_text//micronaut-conferences-x64-prof-text
lzsse8 2019-04-18 -1,14.41,4526.87,21905387,9251218,42.23,corpus_text//micronaut-conferences-x64-prof-text
lzvn 2017-03-08,72.45,970.44,21905387,8500839,38.81,corpus_text//micronaut-conferences-x64-prof-text
quicklz 1.5.0 -1,403.19,547.74,21905387,10889826,49.71,corpus_text//micronaut-conferences-x64-prof-text
quicklz 1.5.0 -2,227.94,581.39,21905387,9632153,43.97,corpus_text//micronaut-conferences-x64-prof-text
snappy 1.2.1,351.41,1033.71,21905387,11578427,52.86,corpus_text//micronaut-conferences-x64-prof-text
zstd 1.5.7 -1,444.78,1286.97,21905387,8650762,39.49,corpus_text//micronaut-conferences-x64-prof-text
zstd 1.5.7 -2,372.64,1230.68,21905387,7987390,36.46,corpus_text//micronaut-conferences-x64-prof-text
zstd 1.5.7 -3,278.39,1164.63,21905387,7517491,34.32,corpus_text//micronaut-conferences-x64-prof-text
zstd 1.5.7 -4,246.56,1145.36,21905387,7390889,33.74,corpus_text//micronaut-conferences-x64-prof-text
zstd 1.5.7 -5,133.16,1102.30,21905387,7163492,32.70,corpus_text//micronaut-conferences-x64-prof-text
memcpy,19926.40,19800.46,81192873,81192873,100.00,corpus_text//quarkus-tika-x64-O3-text
fastlz 0.5.0 -1,252.77,609.46,81192873,50265064,61.91,corpus_text//quarkus-tika-x64-O3-text
fastlz 0.5.0 -2,254.53,613.47,81192873,48202282,59.37,corpus_text//quarkus-tika-x64-O3-text
kanzi 2.3 -1,221.75,1240.61,81192873,36979818,45.55,corpus_text//quarkus-tika-x64-O3-text
kanzi 2.3 -2,188.93,502.43,81192873,32311481,39.80,corpus_text//quarkus-tika-x64-O3-text
kanzi 2.3 -3,127.60,532.45,81192873,31364578,38.63,corpus_text//quarkus-tika-x64-O3-text
lizard 2.1 -10,502.91,2836.19,81192873,47595534,58.62,corpus_text//quarkus-tika-x64-O3-text
lizard 2.1 -11,310.81,2742.05,81192873,42383976,52.20,corpus_text//quarkus-tika-x64-O3-text
lizard 2.1 -12,173.19,2853.55,81192873,39778614,48.99,corpus_text//quarkus-tika-x64-O3-text
lizard 2.1 -13,108.15,2925.83,81192873,38773338,47.75,corpus_text//quarkus-tika-x64-O3-text
lizard 2.1 -14,100.92,2922.14,81192873,38195758,47.04,corpus_text//quarkus-tika-x64-O3-text
lz4 1.10.0,614.02,4076.86,81192873,47471601,58.47,corpus_text//quarkus-tika-x64-O3-text
lz4 1.10.0 --fast -3,756.22,3977.77,81192873,52675623,64.88,corpus_text//quarkus-tika-x64-O3-text
lz4 1.10.0 --fast -17,1550.36,5702.46,81192873,67697222,83.38,corpus_text//quarkus-tika-x64-O3-text
lzav 4.22 -1,417.40,2245.42,81192873,39982001,49.24,corpus_text//quarkus-tika-x64-O3-text
lzav 4.22 -2,78.06,2035.85,81192873,34545551,42.55,corpus_text//quarkus-tika-x64-O3-text
lzf 3.6 -0,310.81,552.89,81192873,49142899,60.53,corpus_text//quarkus-tika-x64-O3-text
lzf 3.6 -1,299.14,550.67,81192873,48261683,59.44,corpus_text//quarkus-tika-x64-O3-text
lzfse 2017-03-08,81.06,722.84,81192873,32259667,39.73,corpus_text//quarkus-tika-x64-O3-text
lzo1b 2.10 -1,190.08,579.63,81192873,46375937,57.12,corpus_text//quarkus-tika-x64-O3-text
lzo1c 2.10 -1,208.16,601.49,81192873,47191798,58.12,corpus_text//quarkus-tika-x64-O3-text
lzof 2.10 -1,180.27,540.72,81192873,46110083,56.79,corpus_text//quarkus-tika-x64-O3-text
lzo1x 2.10 -1,492.69,591.74,81192873,46079812,56.75,corpus_text//quarkus-tika-x64-O3-text
lzo1y 2.10 -1,500.17,592.90,81192873,46479004,57.25,corpus_text//quarkus-tika-x64-O3-text
lzsse4fast 2019-04-18,265.67,3964.64,81192873,41261058,50.82,corpus_text//quarkus-tika-x64-O3-text
lzsse8 2019-04-18 -1,19.40,4436.04,81192873,37480903,46.16,corpus_text//quarkus-tika-x64-O3-text
lzvn 2017-03-08,70.66,954.51,81192873,34978026,43.08,corpus_text//quarkus-tika-x64-O3-text
quicklz 1.5.0 -1,411.26,536.81,81192873,44548094,54.87,corpus_text//quarkus-tika-x64-O3-text
quicklz 1.5.0 -2,228.53,534.21,81192873,39298650,48.40,corpus_text//quarkus-tika-x64-O3-text
snappy 1.2.1,365.72,1086.71,81192873,47756300,58.82,corpus_text//quarkus-tika-x64-O3-text
zstd 1.5.7 -1,464.56,1329.85,81192873,37129828,45.73,corpus_text//quarkus-tika-x64-O3-text
zstd 1.5.7 -2,383.64,1258.83,81192873,33319350,41.04,corpus_text//quarkus-tika-x64-O3-text
zstd 1.5.7 -3,269.91,1186.50,81192873,31206647,38.44,corpus_text//quarkus-tika-x64-O3-text
zstd 1.5.7 -4,233.23,1167.89,81192873,30298477,37.32,corpus_text//quarkus-tika-x64-O3-text
zstd 1.5.7 -5,131.38,1128.57,81192873,29445588,36.27,corpus_text//quarkus-tika-x64-O3-text
memcpy,21924.70,22497.65,35358315,35358315,100.00,corpus_text//micronaut-shopcart-x64-prof-text
fastlz 0.5.0 -1,270.18,623.80,35358315,20588633,58.23,corpus_text//micronaut-shopcart-x64-prof-text
fastlz 0.5.0 -2,266.08,623.87,35358315,19805094,56.01,corpus_text//micronaut-shopcart-x64-prof-text
kanzi 2.3 -1,232.03,1264.36,35358315,15091102,42.68,corpus_text//micronaut-shopcart-x64-prof-text
kanzi 2.3 -2,198.23,534.76,35358315,13102374,37.06,corpus_text//micronaut-shopcart-x64-prof-text
kanzi 2.3 -3,135.53,563.80,35358315,12771224,36.12,corpus_text//micronaut-shopcart-x64-prof-text
lizard 2.1 -10,518.27,2953.93,35358315,19443709,54.99,corpus_text//micronaut-shopcart-x64-prof-text
