Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
lzf 3.6 -1,212.43,365.81,51120528,27652264,54.09,./micronaut-conferences-x64-static-nolibc
lzfse 2017-03-08,64.91,462.47,51120528,19168376,37.50,./micronaut-conferences-x64-static-nolibc
lzo1b 2.10 -1,113.92,412.38,51120528,27156345,53.12,./micronaut-conferences-x64-static-nolibc
lzo1c 2.10 -1,129.72,427.80,51120528,26998909,52.81,./micronaut-conferences-x64-static-nolibc
lzof 2.10 -1,115.50,398.36,51120528,26039682,50.94,./micronaut-conferences-x64-static-nolibc
lzo1x 2.10 -1,320.80,446.70,51120528,26528624,51.89,./micronaut-conferences-x64-static-nolibc
lzo1y 2.10 -1,321.83,449.82,51120528,26582039,52.00,./micronaut-conferences-x64-static-nolibc
lzsse4fast 2019-04-18,187.39,1794.36,51120528,27798904,54.38,./micronaut-conferences-x64-static-nolibc
lzsse8 2019-04-18 -1,12.16,2655.37,51120528,24060803,47.07,./micronaut-conferences-x64-static-nolibc
lzvn 2017-03-08,42.67,581.07,51120528,21168128,41.41,./micronaut-conferences-x64-static-nolibc
quicklz 1.5.0 -1,275.25,325.51,51120528,25621026,50.12,./micronaut-conferences-x64-static-nolibc
quicklz 1.5.0 -2,139.52,306.29,51120528,23580540,46.13,./micronaut-conferences-x64-static-nolibc
snappy 1.2.1,300.88,763.45,51120528,27726315,54.24,./micronaut-conferences-x64-static-nolibc
zstd 1.5.7 -1,314.30,756.75,51120528,20582523,40.26,./micronaut-conferences-x64-static-nolibc
zstd 1.5.7 -2,272.58,730.14,51120528,19522460,38.19,./micronaut-conferences-x64-static-nolibc
zstd 1.5.7 -3,198.07,688.63,51120528,18641007,36.46,./micronaut-conferences-x64-static-nolibc
zstd 1.5.7 -4,171.06,683.64,51120528,18571227,36.33,./micronaut-conferences-x64-static-nolibc
zstd 1.5.7 -5,95.28,669.00,51120528,18220776,35.64,./micronaut-conferences-x64-static-nolibc
memcpy,15189.50,15276.94,51054968,51054968,100.00,./micronaut-conferences-x64-O2
fastlz 0.5.0 -1,170.12,430.37,51054968,28290725,55.41,./micronaut-conferences-x64-O2
fastlz 0.5.0 -2,178.99,419.73,51054968,27923671,54.69,./micronaut-conferences-x64-O2
kanzi 2.3 -1,155.75,814.82,51054968,23124456,45.29,./micronaut-conferences-x64-O2
kanzi 2.3 -2,128.64,284.34,51054968,18967724,37.15,./micronaut-conferences-x64-O2
