filename,0,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
./bin/barista-native-image:spring-hello-world-graalvm-linux-x64-O3/barista-native-image:spring-hello-world-graalvm-linux-x64-O3,1,824571136,0.897446,114423669.538194,0.313742,3.892701,0.190559
./bin/barista-native-image:spring-hello-world-graalvm-linux-x64-Os/barista-native-image:spring-hello-world-graalvm-linux-x64-Os,1,443596736,0.940807,35900188.167058,0.357759,3.908052,0.140937
./bin/barista-native-image:spring-hello-world-graalvm-linux-x64-prof/barista-native-image:spring-hello-world-graalvm-linux-x64-prof,1,928161216,0.890203,137654346.171946,0.307446,3.905271,0.183295
./bin/barista-native-image:spring-petclinic-graalvm-linux-x64-debug/barista-native-image:spring-petclinic-graalvm-linux-x64-debug,1,1436429056,0.931182,134845517.844224,0.346804,3.900931,0.143219
./bin/barista-native-image:spring-petclinic-graalvm-linux-x64-O0/barista-native-image:spring-petclinic-graalvm-linux-x64-O0,1,1436434816,0.931631,133980104.894653,0.347297,3.899190,0.144155
./bin/barista-native-image:spring-petclinic-graalvm-linux-x64-O1/barista-native-image:spring-petclinic-graalvm-linux-x64-O1,1,1113887296,0.939280,92439393.817176,0.355962,3.901672,0.135908
./bin/barista-native-image:spring-petclinic-graalvm-linux-x64-O2/barista-native-image:spring-petclinic-graalvm-linux-x64-O2,1,1410683456,0.919364,154732495.986789,0.334405,3.898784,0.162089
./bin/barista-native-image:spring-petclinic-graalvm-linux-x64-O3/barista-native-image:spring-petclinic-graalvm-linux-x64-O3,1,1979800064,0.903349,259288384.232137,0.319053,3.889798,0.184513
./bin/barista-native-image:spring-petclinic-graalvm-linux-x64-Os/barista-native-image:spring-petclinic-graalvm-linux-x64-Os,1,1057068224,0.945669,78612776.699480,0.363647,3.905133,0.128607
./bin/barista-native-image:spring-petclinic-graalvm-linux-x64-prof/barista-native-image:spring-petclinic-graalvm-linux-x64-prof,1,2164792384,0.898001,298816889.389995,0.314235,3.898475,0.178823
./bin/barista-native-image:vanilla-hello-world-graalvm-linux-x64-debug/barista-native-image:vanilla-hello-world-graalvm-linux-x64-debug,1,138108096,0.905786,17641936.809383,0.321296,3.902998,0.160506
./bin/barista-native-image:vanilla-hello-world-graalvm-linux-x64-O0/barista-native-image:vanilla-hello-world-graalvm-linux-x64-O0,1,138107328,0.905481,17697628.641725,0.321014,3.906036,0.160158
./bin/barista-native-image:vanilla-hello-world-graalvm-linux-x64-O1/barista-native-image:vanilla-hello-world-graalvm-linux-x64-O1,1,96860224,0.918309,10760599.618610,0.333346,3.906282,0.155754
./bin/barista-native-image:vanilla-hello-world-graalvm-linux-x64-O2/barista-native-image:vanilla-hello-world-graalvm-linux-x64-O2,1,121007808,0.898613,16605556.667329,0.314779,3.904420,0.176699
./bin/barista-native-image:vanilla-hello-world-graalvm-linux-x64-O3/barista-native-image:vanilla-hello-world-graalvm-linux-x64-O3,1,152431040,0.885890,23470313.525605,0.303803,3.905312,0.194970
./bin/barista-native-image:vanilla-hello-world-graalvm-linux-x64-Os/barista-native-image:vanilla-hello-world-graalvm-linux-x64-Os,1,92175104,0.925174,9394931.798941,0.340372,3.904378,0.154117
./bin/barista-native-image:vanilla-hello-world-graalvm-linux-x64-prof/barista-native-image:vanilla-hello-world-graalvm-linux-x64-prof,1,203113088,0.870803,35278902.974527,0.291619,3.906723,0.189501
./bin/crypto-compression-dotnet-linux-x64-debug/crypto-compression.dbg,1,47758208,0.945717,3548609.898570,0.363707,3.641598,0.193003
./bin/crypto-compression-dotnet-linux-x64-release/crypto-compression,1,14549824,0.969506,610724.345613,0.397561,3.354568,0.193721
./bin/crypto-compression-dotnet-linux-x64-static/crypto-compression,1,588997408,0.943969,45155329.678903,0.361558,3.561383,0.166800
./bin/dacapo-native-image:fop-graalvm-linux-x64-debug/dacapo-native-image:fop-graalvm-linux-x64-debug,1,672303168,0.915509,77196683.532075,0.330571,3.889927,0.157613
./bin/dacapo-native-image:fop-graalvm-linux-x64-O0/dacapo-native-image:fop-graalvm-linux-x64-O0,1,672303936,0.915505,77200850.092187,0.330567,3.890278,0.157194
./bin/dacapo-native-image:fop-graalvm-linux-x64-O1/dacapo-native-image:fop-graalvm-linux-x64-O1,1,504828992,0.923278,52734460.587454,0.338399,3.897170,0.152917
./bin/dacapo-native-image:fop-graalvm-linux-x64-O2/dacapo-native-image:fop-graalvm-linux-x64-O2,1,644567040,0.902510,85132265.361710,0.318288,3.892327,0.175964
./bin/dacapo-native-image:fop-graalvm-linux-x64-O3/dacapo-native-image:fop-graalvm-linux-x64-O3,1,898668160,0.888548,135235141.758059,0.306039,3.890316,0.195859
